    °„C	        No	    CH0	            CH1	            CH2	            CH3
23.613	298	0.1150924036	2144.2894425565	0.4860447935	-0.2342478177
23.625	299	0.1150970528	2143.0102075940	0.4860112957	-0.2343403241
23.637	300	0.1151021788	2141.7284692364	0.4859751753	-0.2344310423
23.645	301	0.1151051590	2140.4454791811	0.4859426311	-0.2345174691
23.664	302	0.1151132652	2139.1643666723	0.4859077028	-0.2346048495
23.673	303	0.1151169607	2137.8794990706	0.4858726553	-0.2346934220
23.690	304	0.1151238749	2136.5915022249	0.4858382038	-0.2347794911
23.703	305	0.1151291201	2135.3085121696	0.4858035139	-0.2348663947
23.715	306	0.1151341269	2134.0236445679	0.4857702545	-0.2349496028
23.734	307	0.1151415178	2132.7387769663	0.4857366375	-0.2350348374
23.743	308	0.1151454517	2131.4539093646	0.4857013515	-0.2351217410
23.756	309	0.1151505777	2130.1677900653	0.4856673769	-0.2352039954
23.770	310	0.1151565382	2128.8841741612	0.4856307796	-0.2352883956
23.783	311	0.1151619026	2127.5930480714	0.4855952552	-0.2353718421
23.799	312	0.1151684591	2126.3050512257	0.4855596117	-0.2354560039
23.809	313	0.1151725122	2125.0195577752	0.4855249217	-0.2355437419
23.825	314	0.1151790688	2123.7303092319	0.4854893974	-0.2356251619
23.839	315	0.1151845524	2122.4460674790	0.4854550651	-0.2357058666
23.857	316	0.1151919434	2121.1555672381	0.4854204944	-0.2357912204
23.872	317	0.1151982615	2119.8650669971	0.4853840164	-0.2358937404
23.885	318	0.1152036259	2118.5795735466	0.4853489688	-0.2359974525
23.894	319	0.1152069637	2117.2903250033	0.4853123716	-0.2360994957
23.906	320	0.1152122089	2115.9991989135	0.4852788738	-0.2362038038
23.920	321	0.1152178118	2114.7105762190	0.4852440646	-0.2363059662
23.931	322	0.1152223417	2113.4219535245	0.4852072290	-0.2364101551
23.946	323	0.1152285406	2112.1327049811	0.4851723006	-0.2364910982
23.961	324	0.1152345011	2110.8390754961	0.4851366571	-0.2365723989
23.978	325	0.1152414152	2109.5504528016	0.4851019672	-0.2366523884
23.988	326	0.1152455875	2108.2593267119	0.4850657275	-0.2367342852
24.005	327	0.1152523825	2106.9694523197	0.4850305608	-0.2368124865
24.017	328	0.1152576277	2105.6827071716	0.4849950364	-0.2368912838
24.034	329	0.1152643034	2104.3884518378	0.4849595121	-0.2369743727
24.048	330	0.1152702639	2103.0973257480	0.4849233916	-0.2370535277
24.067	331	0.1152780125	2101.8137098440	0.4848872712	-0.2371326826
24.073	332	0.1152805159	2100.5213320566	0.4848529389	-0.2372102879
24.093	333	0.1152883837	2099.2283284204	0.4848171762	-0.2372878931
24.108	334	0.1152945826	2097.9422091211	0.4847803405	-0.2373668097
